,G02Q08,G02Q08Time
0,"Studying, Writing reports",
1,studying & working,
2,"Free time, working, studying",
3,,
4,"studying, research, journalism",
5,,
6,"paper writing, scientific proposals",
7,Paper writing,
8,Paper writing,
9,"Translation, studying, essays writing, story writing, diary writing",
10,"I write emails at work, essays for university etc ",
11,"Homework, bureaucracy",
12,"Journalism, Studying, Blogging.",
13,Scientific Writing,
15,studying,
16,"Studying, in the domain of Machine Learning and Data Science",
17,Studying and working,
18,academic writing,
20,"Study Notes, Reports, Research Papers, Articles, Blogs",
21,"teaching, research, organisational tasks",
22,"Studying, report creation, planning, scientific writing",
23,studying,
24,"Academic writing, work notes, emails",
25,"Research papers
Research proposals
Teaching material",
26,Research (writing conference and journal articales as well as research proposals),
27,,
28,"Studying, work",
29,Scientific publishing,
30,scientific papers,
31,education,
