,G01Q03
0,Computer Science Student
1,Working Student
2,Software engineer
3,Student
4,Student
5,Software Engineer
6,Postdoc
7,Research Associate
8,Computer Scientist (Computational Interaction)
9,Student/translator
10,Student
11,Bachelor Student (Computer Science)
12,Journalist
13,Researcher
15,HCI
16,Student
17,Student
18,Postdoctoral Researcher
20,Student
21,professor for intelligent user interfaces
22,Master's Student
23,Student
24,Researcher
25,Postdoc Researcher
26,Research Assistant
27,Student
28,Student / Marketing professional
29,Professor
30,Wissenschaftlicher Mitarbeiter (M.Sc.)
31,Professor
